Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
SSG 08,Prey,Consumer Grade,2021 Mirage Collection,,,,,,2021.0
Dual Berettas,Drift Wood,Industrial Grade,2021 Mirage Collection,,,,,,2021.0
FAMAS,CaliCamo,Industrial Grade,2021 Mirage Collection,,,,,,2021.0
CZ75-Auto,Midnight Palm,Industrial Grade,2021 Mirage Collection,,,,,,2021.0
P90,Verdant Growth,Industrial Grade,2021 Mirage Collection,,,,,,2021.0
USP-S,Purple DDPAT,Mil-Spec,2021 Mirage Collection,,,,,,2021.0
MP9,Music Box,Mil-Spec,2021 Mirage Collection,,,,,,2021.0
M249,Humidor,Mil-Spec,2021 Mirage Collection,,,,,,2021.0
SG 553,Desert Blossom,Mil-Spec,2021 Mirage Collection,,,,,,2021.0
XM1014,Elegant Vines,Restricted,2021 Mirage Collection,,,,,,2021.0
Glock-18,Pink DDPAT,Restricted,2021 Mirage Collection,,,,,,2021.0
AUG,Sand Storm,Restricted,2021 Mirage Collection,,,,,,2021.0
MP5-SD,Oxide Oasis,Classified,2021 Mirage Collection,,,,,,2021.0
Desert Eagle,Fennec Fox,Classified,2021 Mirage Collection,,,,,,2021.0
AWP,Desert Hydra,Covert,2021 Mirage Collection,,,,,,2021.0
Desert Eagle,Sputnik,Mil-Spec,2021 Train Collection,,,,,,2021.0
M4A1-S,Fizzy POP,Mil-Spec,2021 Train Collection,,,,,,2021.0
SSG 08,Spring Twilly,Mil-Spec,2021 Train Collection,,,,,,2021.0
AUG,Amber Fade,Mil-Spec,2021 Train Collection,,,,,,2021.0
UMP-45,Full Stop,Mil-Spec,2021 Train Collection,,,,,,2021.0
Tec-9,Safety Net,Mil-Spec,2021 Train Collection,,,,,,2021.0
R8 Revolver,Blaze,Mil-Spec,2021 Train Collection,,,,,,2021.0
CZ75-Auto,Syndicate,Restricted,2021 Train Collection,,,,,,2021.0
AWP,POP AWP,Restricted,2021 Train Collection,,,,,,2021.0
P2000,Space Race,Restricted,2021 Train Collection,,,,,,2021.0
MP5-SD,Autumn Twilly,Restricted,2021 Train Collection,,,,,,2021.0
Nova,Red Quartz,Restricted,2021 Train Collection,,,,,,2021.0
USP-S,Whiteout,Classified,2021 Train Collection,,,,,,2021.0
MAC-10,Propaganda,Classified,2021 Train Collection,,,,,,2021.0
FAMAS,Meltdown,Classified,2021 Train Collection,,,,,,2021.0
M4A4,The Coalition,Covert,2021 Train Collection,,,,,,2021.0
Glock-18,Gamma Doppler,Covert,2021 Train Collection,,,,,,2021.0
MAC-10,Strats,Consumer Grade,2021 Vertigo Collection,,,,,,2021.0
FAMAS,Faulty Wiring,Consumer Grade,2021 Vertigo Collection,,,,,,2021.0
XM1014,Blue Tire,Consumer Grade,2021 Vertigo Collection,,,,,,2021.0
CZ75-Auto,Framework,Consumer Grade,2021 Vertigo Collection,,,,,,2021.0
Dual Berettas,Oil Change,Consumer Grade,2021 Vertigo Collection,,,,,,2021.0
Glock-18,Red Tire,Industrial Grade,2021 Vertigo Collection,,,,,,2021.0
UMP-45,Mechanism,Industrial Grade,2021 Vertigo Collection,,,,,,2021.0
SSG 08,Carbon Fiber,Industrial Grade,2021 Vertigo Collection,,,,,,2021.0
PP-Bizon,Breaker Box,Industrial Grade,2021 Vertigo Collection,,,,,,2021.0
AK-47,Green Laminate,Mil-Spec,2021 Vertigo Collection,,,,,,2021.0
P90,Schematic,Mil-Spec,2021 Vertigo Collection,,,,,,2021.0
Nova,Interlock,Mil-Spec,2021 Vertigo Collection,,,,,,2021.0
Negev,Infrastructure,Mil-Spec,2021 Vertigo Collection,,,,,,2021.0
Galil AR,CAUTION!,Restricted,2021 Vertigo Collection,,,,,,2021.0
MAG-7,Prism Terrace,Restricted,2021 Vertigo Collection,,,,,,2021.0
P250,Digital Architect,Restricted,2021 Vertigo Collection,,,,,,2021.0
Five-SeveN,Fall Hazard,Classified,2021 Vertigo Collection,,,,,,2021.0
SG 553,Hazard Pay,Classified,2021 Vertigo Collection,,,,,,2021.0
M4A1-S,Imminent Danger,Covert,2021 Vertigo Collection,,,,,,2021.0
SCAR-20,Army Sheen,Consumer Grade,Chop Shop Collection,,,,,,2015.0
CZ75-Auto,Army Sheen,Consumer Grade,Chop Shop Collection,,,,,,2015.0
M249,Impact Drill,Consumer Grade,Chop Shop Collection,,,,,,2015.0
MAG-7,Seabird,Consumer Grade,Chop Shop Collection,,,,,,2015.0
Desert Eagle,Night,Industrial Grade,Chop Shop Collection,,,,,,2015.0
Galil AR,Urban Rubble,Industrial Grade,Chop Shop Collection,,,,,,2015.0
USP-S,Para Green,Industrial Grade,Chop Shop Collection,,,,,,2015.0
MAC-10,Fade,Mil-Spec,Chop Shop Collection,,,,,,2015.0
P250,Whiteout,Mil-Spec,Chop Shop Collection,,,,,,2015.0
MP7,Full Stop,Mil-Spec,Chop Shop Collection,,,,,,2015.0
Five-SeveN,Nitro,Mil-Spec,Chop Shop Collection,,,,,,2015.0
CZ75-Auto,Emerald,Mil-Spec,Chop Shop Collection,,,,,,2015.0
SG 553,Bulldozer,Restricted,Chop Shop Collection,,,,,,2015.0
Dual Berettas,Duelist,Restricted,Chop Shop Collection,,,,,,2015.0
Glock-18,Twilight Galaxy,Classified,Chop Shop Collection,,,,,,2015.0
M4A1-S,Hot Rod,Classified,Chop Shop Collection,,,,,,2015.0
MP7,Asterion,Consumer Grade,Gods and Monsters Collection,,,,,,2015.0
AUG,Daedalus,Consumer Grade,Gods and Monsters Collection,,,,,,2015.0
Dual Berettas,Moon in Libra,Consumer Grade,Gods and Monsters Collection,,,,,,2015.0
Nova,Moon in Libra,Consumer Grade,Gods and Monsters Collection,,,,,,2015.0
Tec-9,Hades,Industrial Grade,Gods and Monsters Collection,,,,,,2015.0
P2000,Pathfinder,Industrial Grade,Gods and Monsters Collection,,,,,,2015.0
AWP,Sun in Leo,Industrial Grade,Gods and Monsters Collection,,,,,,2015.0
M249,Shipping Forecast,Industrial Grade,Gods and Monsters Collection,,,,,,2015.0
UMP-45,Minotaur's Labyrinth,Mil-Spec,Gods and Monsters Collection,,,,,,2015.0
MP9,Pandora's Box,Mil-Spec,Gods and Monsters Collection,,,,,,2015.0
G3SG1,Chronos,Restricted,Gods and Monsters Collection,,,,,,2015.0
M4A1-S,Icarus Fell,Restricted,Gods and Monsters Collection,,,,,,2015.0
M4A4,Poseidon,Classified,Gods and Monsters Collection,,,,,,2015.0
AWP,Medusa,Covert,Gods and Monsters Collection,,,,,,2015.0
PP-Bizon,Bamboo Print,Consumer Grade,Rising Sun Collection,,,,,,2015.0
Sawed-Off,Bamboo Shadow,Consumer Grade,Rising Sun Collection,,,,,,2015.0
Tec-9,Bamboo Forest,Consumer Grade,Rising Sun Collection,,,,,,2015.0
G3SG1,Orange Kimono,Consumer Grade,Rising Sun Collection,,,,,,2015.0
P250,Mint Kimono,Consumer Grade,Rising Sun Collection,,,,,,2015.0
P250,Crimson Kimono,Industrial Grade,Rising Sun Collection,,,,,,2015.0
Desert Eagle,Midnight Storm,Industrial Grade,Rising Sun Collection,,,,,,2015.0
Galil AR,Aqua Terrace,Mil-Spec,Rising Sun Collection,,,,,,2015.0
MAG-7,Counter Terrace,Mil-Spec,Rising Sun Collection,,,,,,2015.0
Tec-9,Terrace,Mil-Spec,Rising Sun Collection,,,,,,2015.0
Five-SeveN,Neon Kimono,Restricted,Rising Sun Collection,,,,,,2015.0
Desert Eagle,Sunset Storm 壱,Restricted,Rising Sun Collection,,,,,,2015.0
Desert Eagle,Sunset Storm 弐,Restricted,Rising Sun Collection,,,,,,2015.0
M4A4,Daybreak,Restricted,Rising Sun Collection,,,,,,2015.0
AK-47,Hydroponic,Classified,Rising Sun Collection,,,,,,2015.0
AUG,Akihabara Accept,Covert,Rising Sun Collection,,,,,,2015.0
M249,Jungle DDPAT,Consumer Grade,Alpha Collection,,,,,,2013.0
Tec-9,Tornado,Consumer Grade,Alpha Collection,,,,,,2013.0
MP9,Dry Season,Consumer Grade,Alpha Collection,,,,,,2013.0
Five-SeveN,Anodized Gunmetal,Consumer Grade,Alpha Collection,,,,,,2013.0
XM1014,Jungle,Consumer Grade,Alpha Collection,,,,,,2013.0
MP7,Groundwater,Consumer Grade,Alpha Collection,,,,,,2013.0
Glock-18,Sand Dune,Industrial Grade,Alpha Collection,,,,,,2013.0
SSG 08,Mayan Dreams,Industrial Grade,Alpha Collection,,,,,,2013.0
Negev,Palm,Industrial Grade,Alpha Collection,,,,,,2013.0
Sawed-Off,Mosaico,Industrial Grade,Alpha Collection,,,,,,2013.0
P250,Facets,Industrial Grade,Alpha Collection,,,,,,2013.0
AUG,Anodized Navy,Mil-Spec,Alpha Collection,,,,,,2013.0
MAG-7,Hazard,Mil-Spec,Alpha Collection,,,,,,2013.0
PP-Bizon,Rust Coat,Mil-Spec,Alpha Collection,,,,,,2013.0
FAMAS,Spitfire,Restricted,Alpha Collection,,,,,,2013.0
SCAR-20,Emerald,Restricted,Alpha Collection,,,,,,2013.0
SG 553,Barricade,Consumer Grade,Norse Collection,,,,,,2019.0
FAMAS,Night Borre,Consumer Grade,Norse Collection,,,,,,2019.0
MP7,Scorched,Consumer Grade,Norse Collection,,,,,,2019.0
Galil AR,Tornado,Consumer Grade,Norse Collection,,,,,,2019.0
SSG 08,Red Stone,Consumer Grade,Norse Collection,,,,,,2019.0
MAG-7,Chainmail,Industrial Grade,Norse Collection,,,,,,2019.0
M4A1-S,Moss Quartz,Industrial Grade,Norse Collection,,,,,,2019.0
USP-S,Pathfinder,Industrial Grade,Norse Collection,,,,,,2019.0
Dual Berettas,Pyre,Industrial Grade,Norse Collection,,,,,,2019.0
SCAR-20,Brass,Mil-Spec,Norse Collection,,,,,,2019.0
CZ75-Auto,Emerald Quartz,Mil-Spec,Norse Collection,,,,,,2019.0
MAC-10,Copper Borre,Mil-Spec,Norse Collection,,,,,,2019.0
XM1014,Frost Borre,Mil-Spec,Norse Collection,,,,,,2019.0
P90,Astral Jörmungandr,Restricted,Norse Collection,,,,,,2019.0
AUG,Flame Jörmungandr,Restricted,Norse Collection,,,,,,2019.0
Desert Eagle,Emerald Jörmungandr,Restricted,Norse Collection,,,,,,2019.0
Negev,Mjölnir,Classified,Norse Collection,,,,,,2019.0
AWP,Gungnir,Covert,Norse Collection,,,,,,2019.0
AUG,Surveillance,Consumer Grade,Control Collection,,,,,,2020.0
XM1014,Charter,Consumer Grade,Control Collection,,,,,,2020.0
MP9,Army Sheen,Consumer Grade,Control Collection,,,,,,2020.0
P250,Forest Night,Consumer Grade,Control Collection,,,,,,2020.0
CZ75-Auto,Jungle Dashed,Consumer Grade,Control Collection,,,,,,2020.0
Dual Berettas,Switch Board,Industrial Grade,Control Collection,,,,,,2020.0
Desert Eagle,The Bronze,Industrial Grade,Control Collection,,,,,,2020.0
MAG-7,Carbon Fiber,Industrial Grade,Control Collection,,,,,,2020.0
MP5-SD,Nitro,Industrial Grade,Control Collection,,,,,,2020.0
SCAR-20,Magna Carta,Mil-Spec,Control Collection,,,,,,2020.0
P2000,Dispatch,Mil-Spec,Control Collection,,,,,,2020.0
SSG 08,Threat Detected,Mil-Spec,Control Collection,,,,,,2020.0
M4A4,Global Offensive,Mil-Spec,Control Collection,,,,,,2020.0
FAMAS,Prime Conspiracy,Restricted,Control Collection,,,,,,2020.0
UMP-45,Crime Scene,Restricted,Control Collection,,,,,,2020.0
Five-SeveN,Berries And Cherries,Restricted,Control Collection,,,,,,2020.0
USP-S,Target Acquired,Classified,Control Collection,,,,,,2020.0
M4A1-S,Blue Phosphor,Classified,Control Collection,,,,,,2020.0
AWP,Fade,Covert,Control Collection,,,,,,2020.0
PP-Bizon,Death Rattle,Consumer Grade,Havoc Collection,,,,,,2020.0
Dual Berettas,Heist,Consumer Grade,Havoc Collection,,,,,,2020.0
Sawed-Off,Clay Ambush,Consumer Grade,Havoc Collection,,,,,,2020.0
M249,Predator,Consumer Grade,Havoc Collection,,,,,,2020.0
Tec-9,Phoenix Chalk,Consumer Grade,Havoc Collection,,,,,,2020.0
MP7,Vault Heist,Industrial Grade,Havoc Collection,,,,,,2020.0
R8 Revolver,Phoenix Marker,Industrial Grade,Havoc Collection,,,,,,2020.0
UMP-45,Houndstooth,Industrial Grade,Havoc Collection,,,,,,2020.0
Nova,Rust Coat,Industrial Grade,Havoc Collection,,,,,,2020.0
P90,Tiger Pit,Mil-Spec,Havoc Collection,,,,,,2020.0
Negev,Phoenix Stencil,Mil-Spec,Havoc Collection,,,,,,2020.0
Desert Eagle,Night Heist,Mil-Spec,Havoc Collection,,,,,,2020.0
P250,Bengal Tiger,Mil-Spec,Havoc Collection,,,,,,2020.0
Glock-18,Franklin,Restricted,Havoc Collection,,,,,,2020.0
Galil AR,Phoenix Blacklight,Restricted,Havoc Collection,,,,,,2020.0
SG 553,Hypnotic,Restricted,Havoc Collection,,,,,,2020.0
MAC-10,Hot Snakes,Classified,Havoc Collection,,,,,,2020.0
AWP,Silk Tiger,Classified,Havoc Collection,,,,,,2020.0
AK-47,X-Ray,Covert,Havoc Collection,,,,,,2020.0
MP7,Skulls,Mil-Spec,CS:GO Weapon Case,,,,,,2013.0
SG 553,Ultraviolet,Mil-Spec,CS:GO Weapon Case,,,,,,2013.0
AUG,Wings,Mil-Spec,CS:GO Weapon Case,,,,,,2013.0
M4A1-S,Dark Water,Restricted,CS:GO Weapon Case,,,,,,2013.0
USP-S,Dark Water,Restricted,CS:GO Weapon Case,,,,,,2013.0
Glock-18,Dragon Tattoo,Restricted,CS:GO Weapon Case,,,,,,2013.0
Desert Eagle,Hypnotic,Classified,CS:GO Weapon Case,,,,,,2013.0
AK-47,Case Hardened,Classified,CS:GO Weapon Case,,,,,,2013.0
AWP,Lightning Strike,Covert,CS:GO Weapon Case,,,,,,2013.0
M4A4,Faded Zebra,Mil-Spec,eSports 2013 Case,,,,,,2013.0
FAMAS,Doomkitty,Mil-Spec,eSports 2013 Case,,,,,,2013.0
MAG-7,Memento,Mil-Spec,eSports 2013 Case,,,,,,2013.0
Sawed-Off,Orange DDPAT,Restricted,eSports 2013 Case,,,,,,2013.0
P250,Splash,Restricted,eSports 2013 Case,,,,,,2013.0
Galil AR,Orange DDPAT,Restricted,eSports 2013 Case,,,,,,2013.0
AK-47,Red Laminate,Classified,eSports 2013 Case,,,,,,2013.0
AWP,BOOM,Classified,eSports 2013 Case,,,,,,2013.0
P90,Death by Kitty,Covert,eSports 2013 Case,,,,,,2013.0
Nova,Tempest,Mil-Spec,Operation Bravo Case,,,,,,2013.0
Dual Berettas,Black Limba,Mil-Spec,Operation Bravo Case,,,,,,2013.0
UMP-45,Bone Pile,Mil-Spec,Operation Bravo Case,,,,,,2013.0
SG 553,Wave Spray,Mil-Spec,Operation Bravo Case,,,,,,2013.0
Galil AR,Shattered,Mil-Spec,Operation Bravo Case,,,,,,2013.0
G3SG1,Demeter,Mil-Spec,Operation Bravo Case,,,,,,2013.0
M4A1-S,Bright Water,Restricted,Operation Bravo Case,,,,,,2013.0
M4A4,Zirka,Restricted,Operation Bravo Case,,,,,,2013.0
MAC-10,Graven,Restricted,Operation Bravo Case,,,,,,2013.0
USP-S,Overgrowth,Restricted,Operation Bravo Case,,,,,,2013.0
P90,Emerald Dragon,Classified,Operation Bravo Case,,,,,,2013.0
P2000,Ocean Foam,Classified,Operation Bravo Case,,,,,,2013.0
AWP,Graphite,Classified,Operation Bravo Case,,,,,,2013.0
Desert Eagle,Golden Koi,Covert,Operation Bravo Case,,,,,,2013.0
AK-47,Fire Serpent,Covert,Operation Bravo Case,,,,,,2013.0
Tec-9,Blue Titanium,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013.0
M4A1-S,Blood Tiger,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013.0
FAMAS,Hexane,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013.0
P250,Hive,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013.0
SCAR-20,Crimson Web,Mil-Spec,CS:GO Weapon Case 2,,,,,,2013.0
Five-SeveN,Case Hardened,Restricted,CS:GO Weapon Case 2,,,,,,2013.0
MP9,Hypnotic,Restricted,CS:GO Weapon Case 2,,,,,,2013.0
Nova,Graphite,Restricted,CS:GO Weapon Case 2,,,,,,2013.0
Dual Berettas,Hemoglobin,Restricted,CS:GO Weapon Case 2,,,,,,2013.0
P90,Cold Blooded,Classified,CS:GO Weapon Case 2,,,,,,2013.0
USP-S,Serum,Classified,CS:GO Weapon Case 2,,,,,,2013.0
SSG 08,Blood in the Water,Covert,CS:GO Weapon Case 2,,,,,,2013.0
PP-Bizon,Cobalt Halftone,Mil-Spec,Winter Offensive Weapon Case,,,,,,2013.0
M249,Magma,Mil-Spec,Winter Offensive Weapon Case,,,,,,2013.0
Five-SeveN,Kami,Mil-Spec,Winter Offensive Weapon Case,,,,,,2013.0
Galil AR,Sandstorm,Mil-Spec,Winter Offensive Weapon Case,,,,,,2013.0
Nova,Rising Skull,Restricted,Winter Offensive Weapon Case,,,,,,2013.0
MP9,Rose Iron,Restricted,Winter Offensive Weapon Case,,,,,,2013.0
Dual Berettas,Marina,Restricted,Winter Offensive Weapon Case,,,,,,2013.0
FAMAS,Pulse,Restricted,Winter Offensive Weapon Case,,,,,,2013.0
AWP,Redline,Classified,Winter Offensive Weapon Case,,,,,,2013.0
P250,Mehndi,Classified,Winter Offensive Weapon Case,,,,,,2013.0
M4A1-S,Guardian,Classified,Winter Offensive Weapon Case,,,,,,2013.0
Sawed-Off,The Kraken,Covert,Winter Offensive Weapon Case,,,,,,2013.0
M4A4,Asiimov,Covert,Winter Offensive Weapon Case,,,,,,2013.0
Galil AR,Blue Titanium,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
Five-SeveN,Nightshade,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
PP-Bizon,Water Sigil,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
Nova,Ghost Camo,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
G3SG1,Azure Zebra,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
P250,Steel Disruption,Mil-Spec,eSports 2013 Winter Case,,,,,,2013.0
AK-47,Blue Laminate,Restricted,eSports 2013 Winter Case,,,,,,2013.0
P90,Blind Spot,Restricted,eSports 2013 Winter Case,,,,,,2013.0
FAMAS,Afterimage,Classified,eSports 2013 Winter Case,,,,,,2013.0
AWP,Electric Hive,Classified,eSports 2013 Winter Case,,,,,,2013.0
Desert Eagle,Cobalt Disruption,Classified,eSports 2013 Winter Case,,,,,,2013.0
M4A4,X-Ray,Covert,eSports 2013 Winter Case,,,,,,2013.0
CZ75-Auto,Crimson Web,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014.0
P2000,Red FragCam,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014.0
Dual Berettas,Panther,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014.0
USP-S,Stainless,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014.0
Glock-18,Blue Fissure,Mil-Spec,CS:GO Weapon Case 3,,,,,,2014.0
CZ75-Auto,Tread Plate,Restricted,CS:GO Weapon Case 3,,,,,,2014.0
Tec-9,Titanium Bit,Restricted,CS:GO Weapon Case 3,,,,,,2014.0
Desert Eagle,Heirloom,Restricted,CS:GO Weapon Case 3,,,,,,2014.0
Five-SeveN,Copper Galaxy,Restricted,CS:GO Weapon Case 3,,,,,,2014.0
CZ75-Auto,The Fuschia Is Now,Classified,CS:GO Weapon Case 3,,,,,,2014.0
P250,Undertow,Classified,CS:GO Weapon Case 3,,,,,,2014.0
CZ75-Auto,Victoria,Covert,CS:GO Weapon Case 3,,,,,,2014.0
UMP-45,Corporal,Mil-Spec,Operation Phoenix Weapon Case,,,,,,2014.0
Negev,Terrain,Mil-Spec,Operation Phoenix Weapon Case,,,,,,2014.0
Tec-9,Sandstorm,Mil-Spec,Operation Phoenix Weapon Case,,,,,,2014.0
MAG-7,Heaven Guard,Mil-Spec,Operation Phoenix Weapon Case,,,,,,2014.0
MAC-10,Heat,Restricted,Operation Phoenix Weapon Case,,,,,,2014.0
SG 553,Pulse,Restricted,Operation Phoenix Weapon Case,,,,,,2014.0
FAMAS,Sergeant,Restricted,Operation Phoenix Weapon Case,,,,,,2014.0
USP-S,Guardian,Restricted,Operation Phoenix Weapon Case,,,,,,2014.0
AK-47,Redline,Classified,Operation Phoenix Weapon Case,,,,,,2014.0
P90,Trigon,Classified,Operation Phoenix Weapon Case,,,,,,2014.0
Nova,Antique,Classified,Operation Phoenix Weapon Case,,,,,,2014.0
AWP,Asiimov,Covert,Operation Phoenix Weapon Case,,,,,,2014.0
AUG,Chameleon,Covert,Operation Phoenix Weapon Case,,,,,,2014.0
Tec-9,Isaac,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
SSG 08,Slashed,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
Dual Berettas,Retribution **,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
Galil AR,Kami,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
P90,Desert Warfare **,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
CZ75-Auto,Poison Dart **,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
CZ75-Auto,Twist *,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
P90,Module *,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
P2000,Pulse *,Mil-Spec,Huntsman Weapon Case,,,,,,2014.0
AUG,Torque,Restricted,Huntsman Weapon Case,,,,,,2014.0
PP-Bizon,Antique,Restricted,Huntsman Weapon Case,,,,,,2014.0
XM1014,Heaven Guard,Restricted,Huntsman Weapon Case,,,,,,2014.0
MAC-10,Curse **,Restricted,Huntsman Weapon Case,,,,,,2014.0
MAC-10,Tatter *,Restricted,Huntsman Weapon Case,,,,,,2014.0
M4A1-S,Atomic Alloy,Classified,Huntsman Weapon Case,,,,,,2014.0
SCAR-20,Cyrex,Classified,Huntsman Weapon Case,,,,,,2014.0
USP-S,Orion **,Classified,Huntsman Weapon Case,,,,,,2014.0
USP-S,Caiman *,Classified,Huntsman Weapon Case,,,,,,2014.0
AK-47,Vulcan,Covert,Huntsman Weapon Case,,,,,,2014.0
M4A4,Desert-Strike *,Covert,Huntsman Weapon Case,,,,,,2014.0
M4A4,Howl **,Contraband,Huntsman Weapon Case,,,,,,2014.0
MP7,Urban Hazard,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014.0
Negev,Desert-Strike,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014.0
P2000,Ivory,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014.0
SSG 08,Abyss,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014.0
UMP-45,Labyrinth,Mil-Spec,Operation Breakout Weapon Case,,,,,,2014.0
PP-Bizon,Osiris,Restricted,Operation Breakout Weapon Case,,,,,,2014.0
CZ75-Auto,Tigris,Restricted,Operation Breakout Weapon Case,,,,,,2014.0
Nova,Koi,Restricted,Operation Breakout Weapon Case,,,,,,2014.0
P250,Supernova,Restricted,Operation Breakout Weapon Case,,,,,,2014.0
Desert Eagle,Conspiracy,Classified,Operation Breakout Weapon Case,,,,,,2014.0
Five-SeveN,Fowl Play,Classified,Operation Breakout Weapon Case,,,,,,2014.0
Glock-18,Water Elemental,Classified,Operation Breakout Weapon Case,,,,,,2014.0
P90,Asiimov,Covert,Operation Breakout Weapon Case,,,,,,2014.0
M4A1-S,Cyrex,Covert,Operation Breakout Weapon Case,,,,,,2014.0
SSG 08,Dark Water,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
MAC-10,Ultraviolet,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
USP-S,Blood Tiger,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
CZ75-Auto,Hexane,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
Negev,Bratatat,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
XM1014,Red Python,Mil-Spec,eSports 2014 Summer Case,,,,,,2014.0
PP-Bizon,Blue Streak,Restricted,eSports 2014 Summer Case,,,,,,2014.0
P90,Virus,Restricted,eSports 2014 Summer Case,,,,,,2014.0
MP7,Ocean Foam,Restricted,eSports 2014 Summer Case,,,,,,2014.0
Glock-18,Steel Disruption,Restricted,eSports 2014 Summer Case,,,,,,2014.0
Desert Eagle,Crimson Web,Restricted,eSports 2014 Summer Case,,,,,,2014.0
AUG,Bengal Tiger,Classified,eSports 2014 Summer Case,,,,,,2014.0
Nova,Bloomstick,Classified,eSports 2014 Summer Case,,,,,,2014.0
AWP,Corticera,Classified,eSports 2014 Summer Case,,,,,,2014.0
P2000,Corticera,Classified,eSports 2014 Summer Case,,,,,,2014.0
M4A4,Bullet Rain,Covert,eSports 2014 Summer Case,,,,,,2014.0
AK-47,Jaguar,Covert,eSports 2014 Summer Case,,,,,,2014.0
G3SG1,Murky,Mil-Spec,Operation Vanguard Weapon Case,,,,,,2014.0
MAG-7,Firestarter,Mil-Spec,Operation Vanguard Weapon Case,,,,,,2014.0
MP9,Dart,Mil-Spec,Operation Vanguard Weapon Case,,,,,,2014.0
Five-SeveN,Urban Hazard,Mil-Spec,Operation Vanguard Weapon Case,,,,,,2014.0
UMP-45,Delusion,Mil-Spec,Operation Vanguard Weapon Case,,,,,,2014.0
Glock-18,Grinder,Restricted,Operation Vanguard Weapon Case,,,,,,2014.0
M4A1-S,Basilisk,Restricted,Operation Vanguard Weapon Case,,,,,,2014.0
M4A4,Griffin,Restricted,Operation Vanguard Weapon Case,,,,,,2014.0
Sawed-Off,Highwayman,Restricted,Operation Vanguard Weapon Case,,,,,,2014.0
P250,Cartel,Classified,Operation Vanguard Weapon Case,,,,,,2014.0
SCAR-20,Cardiac,Classified,Operation Vanguard Weapon Case,,,,,,2014.0
XM1014,Tranquility,Classified,Operation Vanguard Weapon Case,,,,,,2014.0
AK-47,Wasteland Rebel,Covert,Operation Vanguard Weapon Case,,,,,,2014.0
P2000,Fire Elemental,Covert,Operation Vanguard Weapon Case,,,,,,2014.0
Glock-18,Catacombs,Mil-Spec,Chroma Case,,,,,,2015.0
M249,System Lock,Mil-Spec,Chroma Case,,,,,,2015.0
MP9,Deadly Poison,Mil-Spec,Chroma Case,,,,,,2015.0
SCAR-20,Grotto,Mil-Spec,Chroma Case,,,,,,2015.0
XM1014,Quicksilver,Mil-Spec,Chroma Case,,,,,,2015.0
Dual Berettas,Urban Shock,Restricted,Chroma Case,,,,,,2015.0
Desert Eagle,Naga,Restricted,Chroma Case,,,,,,2015.0
MAC-10,Malachite,Restricted,Chroma Case,,,,,,2015.0
Sawed-Off,Serenity,Restricted,Chroma Case,,,,,,2015.0
AK-47,Cartel,Classified,Chroma Case,,,,,,2015.0
M4A4,龍王 (Dragon King),Classified,Chroma Case,,,,,,2015.0
P250,Muertos,Classified,Chroma Case,,,,,,2015.0
AWP,Man-o'-war,Covert,Chroma Case,,,,,,2015.0
Galil AR,Chatterbox,Covert,Chroma Case,,,,,,2015.0
AK-47,Elite Build,Mil-Spec,Chroma 2 Case,,,,,,2015.0
MP7,Armor Core,Mil-Spec,Chroma 2 Case,,,,,,2015.0
Desert Eagle,Bronze Deco,Mil-Spec,Chroma 2 Case,,,,,,2015.0
P250,Valence,Mil-Spec,Chroma 2 Case,,,,,,2015.0
Negev,Man-o'-war,Mil-Spec,Chroma 2 Case,,,,,,2015.0
Sawed-Off,Origami,Mil-Spec,Chroma 2 Case,,,,,,2015.0
AWP,Worm God,Restricted,Chroma 2 Case,,,,,,2015.0
MAG-7,Heat,Restricted,Chroma 2 Case,,,,,,2015.0
