Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
M4A4,Jungle Tiger,Industrial Grade,Aztec Collection,$96.40 USD,$7.62 USD,$4.42 USD,$3.92 USD,$4.79 USD,2013
Tec-9,Ossified,Mil-Spec,Aztec Collection,$1.37 USD,$5.99 USD,,,,2013
G3SG1,Contractor,Consumer Grade,Baggage Collection,$10.49 USD,$2.77 USD,$1.80 USD,$2.22 USD,$2.16 USD,2014
MP7,Olive Plaid,Consumer Grade,Baggage Collection,,,,,,2014
CZ75-Auto,Green Plaid,Consumer Grade,Baggage Collection,,,,,,2014
MP9,Green Plaid,Consumer Grade,Baggage Collection,,,,,,2014
SSG 08,Sand Dune,Consumer Grade,Baggage Collection,$75.73 USD,$7.85 USD,$2.10 USD,$3.83 USD,$3.42 USD,2014
SG 553,Traveler,Industrial Grade,Baggage Collection,$19.62 USD,$8.40 USD,$8.89 USD,$6.28 USD,$8.17 USD,2014
P90,Leather,Industrial Grade,Baggage Collection,$20.20 USD,$9.24 USD,$7.23 USD,$6.84 USD,$7.09 USD,2014
MAC-10,Commuter,Industrial Grade,Baggage Collection,$16.73 USD,$9.06 USD,$8.28 USD,$7.57 USD,$7.23 USD,2014
P2000,Coach Class,Industrial Grade,Baggage Collection,$17.22 USD,$11.45 USD,$7.76 USD,$7.08 USD,$7.35 USD,2014
Sawed-Off,First Class,Mil-Spec,Baggage Collection,$43.94 USD,$36.75 USD,$29.74 USD,$57.54 USD,$52.62 USD,2014
USP-S,Business Class,Mil-Spec,Baggage Collection,$55.00 USD,$36.50 USD,$31.09 USD,$31.44 USD,$30.54 USD,2014
XM1014,Red Leather,Mil-Spec,Baggage Collection,$58.79 USD,$41.32 USD,$32.42 USD,$56.44 USD,$66.00 USD,2014
AK-47,First Class,Restricted,Baggage Collection,$153.41 USD,$120.53 USD,$75.99 USD,$70.22 USD,$71.74 USD,2014
Desert Eagle,Pilot,Restricted,Baggage Collection,$187.70 USD,$130.11 USD,$79.66 USD,$66.00 USD,$62.89 USD,2014
AK-47,Jet Set,Classified,Baggage Collection,"$1,176.81 USD",$402.38 USD,$346.50 USD,$286.88 USD,$258.69 USD,2014
Tec-9,Urban DDPAT,Consumer Grade,Bank Collection,$0.12 USD,$0.03 USD,$0.03 USD,$0.02 USD,$0.02 USD,2014
SG 553,Army Sheen,Consumer Grade,Bank Collection,$0.04 USD,$0.03 USD,$0.02 USD,,,2014
Sawed-Off,Forest DDPAT,Consumer Grade,Bank Collection,$0.06 USD,$0.03 USD,$0.02 USD,$0.02 USD,$0.02 USD,2014
Negev,Army Sheen,Consumer Grade,Bank Collection,$0.04 USD,$0.03 USD,$0.03 USD,,,2014
MP7,Forest DDPAT,Consumer Grade,Bank Collection,$0.06 USD,$0.03 USD,$0.03 USD,$0.02 USD,$0.02 USD,2014
R8 Revolver,Bone Mask*,Consumer Grade,Bank Collection,$0.19 USD,$0.10 USD,$0.07 USD,$0.06 USD,$0.06 USD,2014
UMP-45,Carbon Fiber,Industrial Grade,Bank Collection,$0.15 USD,$0.12 USD,,,,2014
Nova,Caged Steel,Industrial Grade,Bank Collection,$0.15 USD,$0.11 USD,$0.10 USD,,,2014
MAC-10,Silver,Industrial Grade,Bank Collection,$0.16 USD,$0.14 USD,,,,2014
Glock-18,Death Rattle,Industrial Grade,Bank Collection,,$0.11 USD,$0.08 USD,$0.08 USD,$0.08 USD,2014
G3SG1,Green Apple,Industrial Grade,Bank Collection,,,,,,2014
Galil AR,Tuxedo,Mil-Spec,Bank Collection,$1.72 USD,$1.01 USD,$0.49 USD,$0.45 USD,$0.38 USD,2014
Desert Eagle,Meteorite,Mil-Spec,Bank Collection,$1.29 USD,$0.90 USD,$0.71 USD,,,2014
CZ75-Auto,Tuxedo,Mil-Spec,Bank Collection,$1.33 USD,$0.85 USD,$0.49 USD,$0.42 USD,$0.37 USD,2014
AK-47,Emerald Pinstripe,Restricted,Bank Collection,,,,,,2014
P250,Franklin,Classified,Bank Collection,,,,,,2014
MP5-SD,Lab Rats,Restricted,Blacksite Collection,,,,,,2018
Negev,Nuclear Waste,Industrial Grade,Cache Collection,$2.26 USD,$1.83 USD,$1.62 USD,$1.49 USD,,2014
P250,Contamination,Industrial Grade,Cache Collection,$0.79 USD,$0.57 USD,$0.49 USD,$0.44 USD,$0.47 USD,2014
AUG,Radiation Hazard,Industrial Grade,Cache Collection,$2.36 USD,$1.81 USD,$1.56 USD,$1.43 USD,$1.21 USD,2014
PP-Bizon,Chemical Green,Industrial Grade,Cache Collection,$5.11 USD,$1.91 USD,$1.66 USD,$1.83 USD,$1.33 USD,2014
SG 553,Fallout Warning,Industrial Grade,Cache Collection,$2.26 USD,$1.80 USD,$1.58 USD,$1.25 USD,$1.17 USD,2014
Five-SeveN,Hot Shot,Industrial Grade,Cache Collection,$9.96 USD,$2.61 USD,$1.70 USD,$1.18 USD,$1.03 USD,2014
Glock-18,Reactor,Mil-Spec,Cache Collection,$13.69 USD,$7.23 USD,$4.85 USD,$4.16 USD,$4.07 USD,2014
MP9,Setting Sun,Mil-Spec,Cache Collection,$8.82 USD,$6.88 USD,$5.76 USD,$4.41 USD,$4.60 USD,2014
XM1014,Bone Machine,Mil-Spec,Cache Collection,$8.89 USD,$6.72 USD,$5.14 USD,$6.80 USD,$4.25 USD,2014
MAC-10,Nuclear Garden,Mil-Spec,Cache Collection,$11.00 USD,$8.37 USD,$5.55 USD,$5.07 USD,$5.02 USD,2014
